seed,best_epoch,epochs_run,fit_loss,val_loss,test_normal_error,ratio
0,50,50,0.0530799962580204,0.053131815046072006,0.1279890537261963,2.4112483562365945
1,50,50,0.05185013264417648,0.051994238048791885,0.12908977270126343,2.489671021425286
2,49,50,0.05397936701774597,0.05396144837141037,0.1253247857093811,2.321716474892712
3,48,50,0.05226444453001022,0.052295882254838943,0.12083103507757187,2.3119165651553177
4,50,50,0.05391553416848183,0.05394743010401726,0.13026025891304016,2.416006090303901
