seed,best_epoch,epochs_run,fit_loss,val_loss,test_normal_error,ratio
0,50,50,0.01693718694150448,0.01710512675344944,0.024731703102588654,1.4602013420530748
1,50,50,0.017494741827249527,0.01770632341504097,0.026115847751498222,1.4927826891861073
2,50,50,0.017994167283177376,0.018198227509856224,0.027351712808012962,1.5200321513951853
3,50,50,0.01748650148510933,0.01772104948759079,0.027712734416127205,1.584807254883205
4,50,50,0.017129948362708092,0.017258208245038986,0.024216486141085625,1.4136928861855143
