batch,bottleneck,seed,anomaly_type,roc_auc,pr_auc,contamination
1024,16,0,change_weight,0.7671531439193807,0.5824122034076277,0.33321830354061704
1024,16,0,drop_object,0.9386021739635171,0.8200936336181855,0.22919098500493848
1024,16,0,force_stop,0.7988743942519744,0.296339831868681,0.14037555383641606
1024,16,0,long_wait,0.9830184761320465,0.9002609970792266,0.11671773067383646
1024,16,0,outside_box,0.9276698511100672,0.7525883181155137,0.32082216264521896
1024,16,0,push,0.8824828406754109,0.4218258169616848,0.0863515120352219
1024,16,0,scale_speed,0.8574332437502645,0.6832277193910374,0.22707596634556762
1024,16,0,tcp_wrench,0.9805356792777762,0.9232089111295949,0.15002253557401327
1024,16,1,change_weight,0.7733191302598006,0.586634333406528,0.33321830354061704
1024,16,1,drop_object,0.9294204089335099,0.7922590269534888,0.22919098500493848
1024,16,1,force_stop,0.7455873817093404,0.23310006324406726,0.14037555383641606
1024,16,1,long_wait,0.9637293803703317,0.8403737133561019,0.11671773067383646
1024,16,1,outside_box,0.9251138399453999,0.7015566654825002,0.32082216264521896
1024,16,1,push,0.8700255892645521,0.40620497258136157,0.0863515120352219
1024,16,1,scale_speed,0.8568969763470677,0.6898241684202214,0.22707596634556762
1024,16,1,tcp_wrench,0.9754970198317009,0.9076374006226254,0.15002253557401327
1024,16,2,change_weight,0.7782174481492607,0.6055259462691649,0.33321830354061704
1024,16,2,drop_object,0.9296984080993754,0.8108232165868032,0.22919098500493848
1024,16,2,force_stop,0.7894975861483254,0.3105712665539848,0.14037555383641606
1024,16,2,long_wait,0.9739597568539674,0.8633272282416932,0.11671773067383646
1024,16,2,outside_box,0.9259241335198989,0.7193215807515028,0.32082216264521896
1024,16,2,push,0.86691953977548,0.40496646801854863,0.0863515120352219
1024,16,2,scale_speed,0.8658771607755721,0.6826206555174148,0.22707596634556762
1024,16,2,tcp_wrench,0.977354825505806,0.913304016219473,0.15002253557401327
1024,16,3,change_weight,0.8001812741283272,0.6606229535402337,0.33321830354061704
1024,16,3,drop_object,0.9323285271058599,0.8375366163812289,0.22919098500493848
1024,16,3,force_stop,0.7364651427128166,0.23615004040742618,0.14037555383641606
1024,16,3,long_wait,0.9923993141818893,0.9526158750039558,0.11671773067383646
1024,16,3,outside_box,0.9255109853157898,0.7171479087651756,0.32082216264521896
1024,16,3,push,0.8774130036348329,0.41678167849451553,0.0863515120352219
1024,16,3,scale_speed,0.8536314631600318,0.677210502220242,0.22707596634556762
1024,16,3,tcp_wrench,0.977009918939032,0.9115320412614311,0.15002253557401327
1024,16,4,change_weight,0.7650470942155303,0.5992795570905928,0.33321830354061704
1024,16,4,drop_object,0.9077935262339037,0.8126198401915449,0.22919098500493848
1024,16,4,force_stop,0.7853414736697479,0.2837880986544566,0.14037555383641606
1024,16,4,long_wait,0.9639922000620254,0.8210968744497199,0.11671773067383646
1024,16,4,outside_box,0.9311661232933774,0.7581779902182316,0.32082216264521896
1024,16,4,push,0.8698829423360559,0.384988150152007,0.0863515120352219
1024,16,4,scale_speed,0.8521302617610439,0.6843404847010384,0.22707596634556762
1024,16,4,tcp_wrench,0.9726769910785144,0.9087562392939394,0.15002253557401327
