batch,bottleneck,seed,anomaly_type,roc_auc,pr_auc,contamination
128,32,0,change_weight,0.561314454798103,0.36950273732268746,0.33321830354061704
128,32,0,drop_object,0.8210017211509549,0.6674913509349184,0.22919098500493848
128,32,0,force_stop,0.6627695380944332,0.2608491349169744,0.14037555383641606
128,32,0,long_wait,0.8450997819843387,0.661413172299364,0.11671773067383646
128,32,0,outside_box,0.7655116950753326,0.5804419037396893,0.32082216264521896
128,32,0,push,0.8717891252432701,0.48402250293320803,0.0863515120352219
128,32,0,scale_speed,0.6986461332181425,0.3751563345451986,0.22707596634556762
128,32,0,tcp_wrench,0.9471332074920842,0.873090639076286,0.15002253557401327
128,32,1,change_weight,0.6356911156472864,0.42960006378629056,0.33321830354061704
128,32,1,drop_object,0.8587392636285166,0.771648630898102,0.22919098500493848
128,32,1,force_stop,0.6173435033775314,0.22101716479127695,0.14037555383641606
128,32,1,long_wait,0.898285421013777,0.7884343695083986,0.11671773067383646
128,32,1,outside_box,0.8981545420787675,0.8219056651793428,0.32082216264521896
128,32,1,push,0.8844822866864219,0.49309580732800956,0.0863515120352219
128,32,1,scale_speed,0.6879484418319867,0.3636919072236987,0.22707596634556762
128,32,1,tcp_wrench,0.8576465952475314,0.8134187316348205,0.15002253557401327
128,32,2,change_weight,0.6058340432243785,0.3824350154018493,0.33321830354061704
128,32,2,drop_object,0.8456420242186493,0.7025299419279758,0.22919098500493848
128,32,2,force_stop,0.6058736295711771,0.17713763947473804,0.14037555383641606
128,32,2,long_wait,0.8598725952543881,0.70438129164759,0.11671773067383646
128,32,2,outside_box,0.8637484329606349,0.7203788194531203,0.32082216264521896
128,32,2,push,0.8797438350725559,0.43826274746150723,0.0863515120352219
128,32,2,scale_speed,0.7079881205740083,0.3910882596663618,0.22707596634556762
128,32,2,tcp_wrench,0.9788689763065809,0.9187117785867124,0.15002253557401327
128,32,3,change_weight,0.6534392940140523,0.42844184943669283,0.33321830354061704
128,32,3,drop_object,0.8749384311028195,0.80019995483451,0.22919098500493848
128,32,3,force_stop,0.6253470544541591,0.19209991455667982,0.14037555383641606
128,32,3,long_wait,0.8946897300886896,0.7913525335919682,0.11671773067383646
128,32,3,outside_box,0.868690117155204,0.7582464667351694,0.32082216264521896
128,32,3,push,0.9129499769673056,0.5622276523517868,0.0863515120352219
128,32,3,scale_speed,0.6943008791869111,0.3763015257846207,0.22707596634556762
128,32,3,tcp_wrench,0.8620377471728797,0.8156305848951932,0.15002253557401327
128,32,4,change_weight,0.6391946621796207,0.39956232602466457,0.33321830354061704
128,32,4,drop_object,0.874668526840023,0.7896885589376113,0.22919098500493848
128,32,4,force_stop,0.686396047433163,0.2440319061728977,0.14037555383641606
128,32,4,long_wait,0.8824087464984343,0.7475636092447163,0.11671773067383646
128,32,4,outside_box,0.9646934063172258,0.861814637497148,0.32082216264521896
128,32,4,push,0.9027074117364766,0.5171775380694399,0.0863515120352219
128,32,4,scale_speed,0.7215886141849503,0.403511499144495,0.22707596634556762
128,32,4,tcp_wrench,0.8958032466327008,0.834107641480826,0.15002253557401327
