seed,best_epoch,epochs_run,fit_loss,val_loss,test_normal_error,ratio
0,50,50,0.006676620338112116,0.006661913823336363,0.036860015243291855,5.520759512546195
1,46,50,0.006552534177899361,0.006555826868861914,0.026302065700292587,4.014029532116781
2,49,50,0.006821897812187672,0.006813617888838053,0.03389621153473854,4.9687363352440155
3,50,50,0.006784297991544008,0.006772350519895554,0.03421695530414581,5.0435513514875145
4,50,50,0.006694571580737829,0.006691442336887121,0.028969338163733482,4.327287835279324
