seed,best_epoch,epochs_run,fit_loss,val_loss,test_normal_error,ratio
0,49,50,0.008539114147424698,0.008488287217915058,0.03618831932544708,4.2379477192445165
1,49,50,0.0076238252222537994,0.007514075841754675,0.036719176918268204,4.81637181438599
2,49,50,0.007664100732654333,0.007663742173463106,0.034680768847465515,4.52509303533833
3,48,50,0.0074224104173481464,0.007403308991342783,0.04333692044019699,5.838658603262774
4,50,50,0.007463532034307718,0.007456357125192881,0.03423979878425598,4.587613294465065
