batch,bottleneck,seed,anomaly_type,roc_auc,pr_auc,contamination
1024,16,0,change_weight,0.7931536073727877,0.5983173307147586,0.33321830354061704
1024,16,0,drop_object,0.9588179250932239,0.8511623211436229,0.22919098500493848
1024,16,0,force_stop,0.7883610784934018,0.286674567695129,0.14037555383641606
1024,16,0,long_wait,0.9518418783899035,0.7921567498237087,0.11671773067383646
1024,16,0,outside_box,0.9286672835092108,0.7435905247542396,0.32082216264521896
1024,16,0,push,0.882611670605373,0.4328006030428183,0.0863515120352219
1024,16,0,scale_speed,0.8657775072557415,0.7063365950502932,0.22707596634556762
1024,16,0,tcp_wrench,0.980134446506036,0.9199579109720937,0.15002253557401327
1024,16,1,change_weight,0.7938746459620746,0.6260815090990706,0.33321830354061704
1024,16,1,drop_object,0.9502844425717969,0.8506873065283775,0.22919098500493848
1024,16,1,force_stop,0.8093648435708035,0.2953986274119388,0.14037555383641606
1024,16,1,long_wait,0.9802830242741519,0.9199176851783617,0.11671773067383646
1024,16,1,outside_box,0.9316662918404913,0.7309137355029829,0.32082216264521896
1024,16,1,push,0.8799125647765893,0.43969415312598525,0.0863515120352219
1024,16,1,scale_speed,0.8781001522242393,0.7046940663934627,0.22707596634556762
1024,16,1,tcp_wrench,0.9753384692862064,0.9067732168596165,0.15002253557401327
1024,16,2,change_weight,0.8011248875186984,0.611070032527031,0.33321830354061704
1024,16,2,drop_object,0.9568068009051458,0.8397497594548842,0.22919098500493848
1024,16,2,force_stop,0.8324244209600581,0.33310946600036034,0.14037555383641606
1024,16,2,long_wait,0.9768815290929134,0.8645024826130874,0.11671773067383646
1024,16,2,outside_box,0.9223839750922604,0.6920833043081492,0.32082216264521896
1024,16,2,push,0.8826808341409068,0.4308452320311265,0.0863515120352219
1024,16,2,scale_speed,0.8595761293141221,0.6895223517962947,0.22707596634556762
1024,16,2,tcp_wrench,0.981588296568767,0.922993807630319,0.15002253557401327
1024,16,3,change_weight,0.8050988579111927,0.6578479975556436,0.33321830354061704
1024,16,3,drop_object,0.9556695896739842,0.8609212275750305,0.22919098500493848
1024,16,3,force_stop,0.8173242654416254,0.2956961716486879,0.14037555383641606
1024,16,3,long_wait,0.9730806215511052,0.8678124708196466,0.11671773067383646
1024,16,3,outside_box,0.9259810680368515,0.7185437751114908,0.32082216264521896
1024,16,3,push,0.8871197560039801,0.4497714726582788,0.0863515120352219
1024,16,3,scale_speed,0.8728234767734604,0.6955353441532877,0.22707596634556762
1024,16,3,tcp_wrench,0.9741166539275703,0.9026209964028853,0.15002253557401327
1024,16,4,change_weight,0.7811175908664111,0.5845023686103508,0.33321830354061704
1024,16,4,drop_object,0.9565723282441551,0.8395800098845305,0.22919098500493848
1024,16,4,force_stop,0.8010608880364016,0.2990636041913476,0.14037555383641606
1024,16,4,long_wait,0.9711613884740758,0.8744999381457067,0.11671773067383646
1024,16,4,outside_box,0.924011522705158,0.6987432078292076,0.32082216264521896
1024,16,4,push,0.8843467478869679,0.44325239192495347,0.0863515120352219
1024,16,4,scale_speed,0.8576935559093626,0.6767902207218953,0.22707596634556762
1024,16,4,tcp_wrench,0.9860061485782876,0.9400449632071011,0.15002253557401327
