seed,best_epoch,epochs_run,fit_loss,val_loss,test_normal_error,ratio
0,50,50,0.01155846193432808,0.011671962216496468,0.0189374852925539,1.6384087606250166
1,50,50,0.011752220802009106,0.011887318454682827,0.02570447139441967,2.1872011960518436
2,50,50,0.01068878173828125,0.01084540132433176,0.02047075517475605,1.9151626140368487
3,50,50,0.011623447760939598,0.011833416298031807,0.02028522454202175,1.74519858128411
4,50,50,0.011220553889870644,0.011386389844119549,0.019510800018906593,1.7388446426445998
