batch,bottleneck,seed,anomaly_type,roc_auc,pr_auc,contamination
1024,16,0,change_weight,0.6363221600835001,0.40086080841277194,0.33321830354061704
1024,16,0,drop_object,0.8901434429374082,0.7293669329385141,0.22919098500493848
1024,16,0,force_stop,0.5831628742636217,0.16367534271838657,0.14037555383641606
1024,16,0,long_wait,0.7993538199512562,0.5333065534399916,0.11671773067383646
1024,16,0,outside_box,0.7675890382542109,0.5919725659136452,0.32082216264521896
1024,16,0,push,0.8513122286916813,0.39081188852843807,0.0863515120352219
1024,16,0,scale_speed,0.6828532277556139,0.39164843041715874,0.22707596634556762
1024,16,0,tcp_wrench,0.9837352393644258,0.9308491274724738,0.15002253557401327
1024,16,1,change_weight,0.6238437864441347,0.38191326623794164,0.33321830354061704
1024,16,1,drop_object,0.9056787941321252,0.7266430594820827,0.22919098500493848
1024,16,1,force_stop,0.5720120290486889,0.16393061558186162,0.14037555383641606
1024,16,1,long_wait,0.8625219785405845,0.6924102822447855,0.11671773067383646
1024,16,1,outside_box,0.7644283934069156,0.5755211836605862,0.32082216264521896
1024,16,1,push,0.839516471812734,0.37299279599329493,0.0863515120352219
1024,16,1,scale_speed,0.6871869976604732,0.39057925206419014,0.22707596634556762
1024,16,1,tcp_wrench,0.9827249236223163,0.9276808701567065,0.15002253557401327
1024,16,2,change_weight,0.6460597439829955,0.39411961270175866,0.33321830354061704
1024,16,2,drop_object,0.9062330981818187,0.721976274094667,0.22919098500493848
1024,16,2,force_stop,0.6359437663677187,0.17901666494340399,0.14037555383641606
1024,16,2,long_wait,0.8448010807239434,0.6268270543912833,0.11671773067383646
1024,16,2,outside_box,0.8652131929837861,0.7400500034616881,0.32082216264521896
1024,16,2,push,0.8542670308088306,0.39370892729744605,0.0863515120352219
1024,16,2,scale_speed,0.6919634411917294,0.39091292859730986,0.22707596634556762
1024,16,2,tcp_wrench,0.9825581435988237,0.9276983779134201,0.15002253557401327
1024,16,3,change_weight,0.6508307633326521,0.4175579540412196,0.33321830354061704
1024,16,3,drop_object,0.9099408490201316,0.7727541330344116,0.22919098500493848
1024,16,3,force_stop,0.5891006886963815,0.17666076709289638,0.14037555383641606
1024,16,3,long_wait,0.8658113540904694,0.6921317413074861,0.11671773067383646
1024,16,3,outside_box,0.8290641172170377,0.6596497726323529,0.32082216264521896
1024,16,3,push,0.8548934363169889,0.3959951827662088,0.0863515120352219
1024,16,3,scale_speed,0.6796538369808406,0.45315222910047254,0.22707596634556762
1024,16,3,tcp_wrench,0.9863985666647052,0.941637732733611,0.15002253557401327
1024,16,4,change_weight,0.6407722491509391,0.39245166141945675,0.33321830354061704
1024,16,4,drop_object,0.9090948375226311,0.7444509456433448,0.22919098500493848
1024,16,4,force_stop,0.6383128227739124,0.18358286824462797,0.14037555383641606
1024,16,4,long_wait,0.8226921942471507,0.5824801167321998,0.11671773067383646
1024,16,4,outside_box,0.7931698858500543,0.58834597755185,0.32082216264521896
1024,16,4,push,0.860921954444878,0.3958802045926049,0.0863515120352219
1024,16,4,scale_speed,0.6991053923797448,0.458517050112547,0.22707596634556762
1024,16,4,tcp_wrench,0.9866912841171807,0.9429940206097599,0.15002253557401327
