seed,best_epoch,epochs_run,fit_loss,val_loss,test_normal_error,ratio
0,50,50,0.018727771937847137,0.0188047643750906,0.06282135844230652,3.354449138466398
1,50,50,0.01861433871090412,0.01866200566291809,0.0467236265540123,2.5100879101679823
2,49,50,0.0187647994607687,0.01874913088977337,0.11302180588245392,6.023075605936904
3,49,50,0.01881003938615322,0.018871257081627846,0.10090912133455276,5.364641682187852
4,50,50,0.018103908747434616,0.01815732754766941,0.10550021380186081,5.827482632269152
