seed,best_epoch,epochs_run,fit_loss,val_loss,test_normal_error,ratio
0,50,50,0.02235926315188408,0.022494832053780556,0.05897437781095505,2.6375814538407827
1,45,50,0.021413009613752365,0.021493226289749146,0.057851631194353104,2.7017048158049803
2,49,50,0.020356537774205208,0.02061285264790058,0.05595710501074791,2.7488517758483453
3,50,50,0.02069285698235035,0.020797155797481537,0.09410709142684937,4.547805627184132
4,50,50,0.02073390781879425,0.020842373371124268,0.05928816273808479,2.8594784570394896
