batch,bottleneck,seed,anomaly_type,roc_auc,pr_auc,contamination
1024,16,0,change_weight,0.767523175564649,0.5721762346055435,0.33321830354061704
1024,16,0,drop_object,0.9353044850155585,0.8005733640864842,0.22919098500493848
1024,16,0,force_stop,0.8097302967220541,0.3193487597436702,0.14037555383641606
1024,16,0,long_wait,0.9884804257836596,0.9127352340960422,0.11671773067383646
1024,16,0,outside_box,0.9326160772670501,0.7512259494011666,0.32082216264521896
1024,16,0,push,0.878284240335399,0.4129857578859623,0.0863515120352219
1024,16,0,scale_speed,0.8371980727740458,0.621421572679615,0.22707596634556762
1024,16,0,tcp_wrench,0.9782602875383677,0.9155517358172004,0.15002253557401327
1024,16,1,change_weight,0.7623909977611365,0.5708480703544956,0.33321830354061704
1024,16,1,drop_object,0.9344965920115799,0.7906481644065536,0.22919098500493848
1024,16,1,force_stop,0.7462359575569367,0.23211696676055077,0.14037555383641606
1024,16,1,long_wait,0.9809508057393656,0.8722985518033948,0.11671773067383646
1024,16,1,outside_box,0.9262212726071711,0.7211597371299108,0.32082216264521896
1024,16,1,push,0.867020866613144,0.3965800679797789,0.0863515120352219
1024,16,1,scale_speed,0.8782416627108909,0.6788662442031084,0.22707596634556762
1024,16,1,tcp_wrench,0.9836958435324674,0.9297663362796057,0.15002253557401327
1024,16,2,change_weight,0.798653900683888,0.6287360309821697,0.33321830354061704
1024,16,2,drop_object,0.9315137542899706,0.8146044221007396,0.22919098500493848
1024,16,2,force_stop,0.7673539626090109,0.2580665812428361,0.14037555383641606
1024,16,2,long_wait,0.9819757026728196,0.894721217709434,0.11671773067383646
1024,16,2,outside_box,0.9224773699735477,0.7152387053595632,0.32082216264521896
1024,16,2,push,0.8684059045382196,0.38956786016177936,0.0863515120352219
1024,16,2,scale_speed,0.8306357072833319,0.6021826639499328,0.22707596634556762
1024,16,2,tcp_wrench,0.9763078652189503,0.9127914171782567,0.15002253557401327
1024,16,3,change_weight,0.7900231234671435,0.6097325912612221,0.33321830354061704
1024,16,3,drop_object,0.9302164818957979,0.7943545998286317,0.22919098500493848
1024,16,3,force_stop,0.7404177782055151,0.23366756865687638,0.14037555383641606
1024,16,3,long_wait,0.9579833593457677,0.8158313136176064,0.11671773067383646
1024,16,3,outside_box,0.9224642884569164,0.699993020831218,0.32082216264521896
1024,16,3,push,0.8814161958785681,0.4169274806673219,0.0863515120352219
1024,16,3,scale_speed,0.8394714241553004,0.6095887667221433,0.22707596634556762
1024,16,3,tcp_wrench,0.9505422839926615,0.8678239811262137,0.15002253557401327
1024,16,4,change_weight,0.7976509057848126,0.6200996497555327,0.33321830354061704
1024,16,4,drop_object,0.9285644542252627,0.8070429496576557,0.22919098500493848
1024,16,4,force_stop,0.7156123176566667,0.22205109321918637,0.14037555383641606
1024,16,4,long_wait,0.9810229670692695,0.8746635738155473,0.11671773067383646
1024,16,4,outside_box,0.9297232710706332,0.7469334116265207,0.32082216264521896
1024,16,4,push,0.882119782839458,0.4063662272102869,0.0863515120352219
1024,16,4,scale_speed,0.844416529210569,0.6215017926385135,0.22707596634556762
1024,16,4,tcp_wrench,0.9813753583175682,0.9236083216285926,0.15002253557401327
