batch,bottleneck,seed,anomaly_type,roc_auc,pr_auc,contamination
128,8,0,change_weight,0.7236822214667965,0.49883918224018614,0.33321830354061704
128,8,0,drop_object,0.8383768458618074,0.5564724546242205,0.22919098500493848
128,8,0,force_stop,0.6848872825418488,0.22335049185427017,0.14037555383641606
128,8,0,long_wait,0.9240287832079905,0.8199048468651277,0.11671773067383646
128,8,0,outside_box,0.7741984288217559,0.518334826185438,0.32082216264521896
128,8,0,push,0.831240305683584,0.33120668699026196,0.0863515120352219
128,8,0,scale_speed,0.7471281225843922,0.5136456061969514,0.22707596634556762
128,8,0,tcp_wrench,0.9615077444061495,0.8756752527701865,0.15002253557401327
128,8,1,change_weight,0.6900413291870293,0.4408184376403481,0.33321830354061704
128,8,1,drop_object,0.8696242898205765,0.6413077718427886,0.22919098500493848
128,8,1,force_stop,0.6655845592436611,0.19769363013578273,0.14037555383641606
128,8,1,long_wait,0.8809876585606753,0.7040334803808075,0.11671773067383646
128,8,1,outside_box,0.7937063817854757,0.5372159919129389,0.32082216264521896
128,8,1,push,0.8141502886253833,0.3250753252038458,0.0863515120352219
128,8,1,scale_speed,0.7730177406455927,0.5237196630429319,0.22707596634556762
128,8,1,tcp_wrench,0.9725857271834979,0.8981952597040203,0.15002253557401327
128,8,2,change_weight,0.6937105050525147,0.44475640122185656,0.33321830354061704
128,8,2,drop_object,0.8471954925936771,0.5814006258757327,0.22919098500493848
128,8,2,force_stop,0.6275524131794636,0.17906757720335517,0.14037555383641606
128,8,2,long_wait,0.9265161716719534,0.8139696978208381,0.11671773067383646
128,8,2,outside_box,0.8056698110510392,0.5561310108495664,0.32082216264521896
128,8,2,push,0.8254304901558959,0.3276449986494353,0.0863515120352219
128,8,2,scale_speed,0.7506434618483318,0.5351385318977578,0.22707596634556762
128,8,2,tcp_wrench,0.966419925919255,0.8848153895330472,0.15002253557401327
128,8,3,change_weight,0.7105172755971767,0.4799971239513379,0.33321830354061704
128,8,3,drop_object,0.8578134782589102,0.5617512151252548,0.22919098500493848
128,8,3,force_stop,0.6343951863065082,0.18324605540126776,0.14037555383641606
128,8,3,long_wait,0.8596445615753086,0.6377054344162132,0.11671773067383646
128,8,3,outside_box,0.7739566784051255,0.5286263840553292,0.32082216264521896
128,8,3,push,0.8229876827774222,0.34411337700368316,0.0863515120352219
128,8,3,scale_speed,0.7497798015395771,0.47593437954306317,0.22707596634556762
128,8,3,tcp_wrench,0.9625164061247798,0.8786580578404817,0.15002253557401327
128,8,4,change_weight,0.7259574540682235,0.476486409863829,0.33321830354061704
128,8,4,drop_object,0.8833570903621079,0.6973540404370411,0.22919098500493848
128,8,4,force_stop,0.6540137257251967,0.18558678747679075,0.14037555383641606
128,8,4,long_wait,0.940433570535272,0.8788977121456182,0.11671773067383646
128,8,4,outside_box,0.8466541943464576,0.6677796543833983,0.32082216264521896
128,8,4,push,0.8136390465891387,0.3131194180827953,0.0863515120352219
128,8,4,scale_speed,0.7948654095069241,0.5698337581131468,0.22707596634556762
128,8,4,tcp_wrench,0.9355061417508688,0.8446123745100271,0.15002253557401327
