seed,best_epoch,epochs_run,fit_loss,val_loss,test_normal_error,ratio
0,50,50,0.05284133926033974,0.052889205515384674,0.13325515389442444,2.5217974366224967
1,45,50,0.05332781374454498,0.05348249524831772,0.12431532144546509,2.331153533519487
2,36,46,0.054225511848926544,0.05426052212715149,0.13053521513938904,2.407265707386276
3,50,50,0.051655035465955734,0.05169059336185455,0.13194392621517181,2.5543284410700298
4,46,50,0.05265405401587486,0.05268341675400734,0.13585436344146729,2.5801311215373475
