seed,best_epoch,epochs_run,fit_loss,val_loss,test_normal_error,ratio
0,50,50,0.019322624430060387,0.019444921985268593,0.08899502456188202,4.605742086640758
1,42,50,0.021169070154428482,0.02125157229602337,0.08812595158815384,4.162958077292698
2,50,50,0.019770586863160133,0.019896740093827248,0.08490361273288727,4.294440692152335
3,48,50,0.020770065486431122,0.020889954641461372,0.09121019393205643,4.391425438289693
4,46,50,0.020186899229884148,0.020322680473327637,0.05555529519915581,2.7520469868355626
