seed,best_epoch,epochs_run,fit_loss,val_loss,test_normal_error,ratio
0,50,50,0.02010476402938366,0.020205290988087654,0.09072719514369965,4.5127212142902735
1,50,50,0.02065916173160076,0.02087375894188881,0.08837278932332993,4.2776561058696165
2,50,50,0.021076668053865433,0.02119058556854725,0.062231652438640594,2.952632374320067
3,50,50,0.021892080083489418,0.021942706778645515,0.0669659674167633,3.0589129567120366
4,50,50,0.02031959593296051,0.02051442489027977,0.05858024209737778,2.8829432578604823
