seed,best_epoch,epochs_run,fit_loss,val_loss,test_normal_error,ratio
0,48,50,0.02512955851852894,0.02537653036415577,0.0326959528028965,1.301095392455406
1,49,50,0.024327242746949196,0.024593159556388855,0.03141634911298752,1.2914060767090978
2,49,50,0.024525130167603493,0.02474469691514969,0.030590487644076347,1.2473119382047113
3,47,50,0.025256304070353508,0.0254651065915823,0.0319410003721714,1.2646743673657526
4,47,50,0.024409664794802666,0.02457468956708908,0.030301809310913086,1.2413857201908394
