seed,best_epoch,epochs_run,fit_loss,val_loss,test_normal_error,ratio
0,50,50,0.018811281770467758,0.018972963094711304,0.0840061604976654,4.465732932114626
1,50,50,0.02010069042444229,0.02012593112885952,0.06285196542739868,3.12685604823659
2,49,50,0.01904352195560932,0.019184535369277,0.0842842161655426,4.425873342232079
3,50,50,0.018541742116212845,0.018659168854355812,0.08305151015520096,4.479164343601832
4,50,50,0.02075052261352539,0.02096785604953766,0.05826977640390396,2.808111269733667
