seed,best_epoch,epochs_run,fit_loss,val_loss,test_normal_error,ratio
0,50,50,0.01967448554933071,0.01985359750688076,0.07785456627607346,3.95713352101966
1,50,50,0.0200822576880455,0.020264536142349243,0.061995260417461395,3.087066274145348
2,49,50,0.02209087647497654,0.022127950564026833,0.091170534491539,4.127067325500303
3,50,50,0.022989461198449135,0.02320815436542034,0.0593489408493042,2.581571631322437
4,49,50,0.02092405967414379,0.021007124334573746,0.07353144884109497,3.5142056554139445
