seed,best_epoch,epochs_run,fit_loss,val_loss,test_normal_error,ratio
0,42,50,0.02122648060321808,0.021346863359212875,0.0637233629822731,3.002069168857517
1,50,50,0.021824847906827927,0.02195057086646557,0.08393831551074982,3.8459977301601094
2,45,50,0.022795414552092552,0.022920595481991768,0.06511593610048294,2.856536605275533
3,50,50,0.02297111228108406,0.02304575964808464,0.06248396262526512,2.7201104526714
4,49,50,0.02145974710583687,0.021640745922923088,0.05449133738875389,2.539234834409242
