batch,bottleneck,seed,anomaly_type,roc_auc,pr_auc,contamination
1024,16,0,change_weight,0.6386879255004811,0.3994593708878292,0.33321830354061704
1024,16,0,drop_object,0.8713124678792363,0.7601185666356055,0.22919098500493848
1024,16,0,force_stop,0.6210883888369063,0.16902257469804544,0.14037555383641606
1024,16,0,long_wait,0.7730109589318158,0.49423072549662495,0.11671773067383646
1024,16,0,outside_box,0.658880006090302,0.4286168454244081,0.32082216264521896
1024,16,0,push,0.6211305760686967,0.1932767858388289,0.0863515120352219
1024,16,0,scale_speed,0.6436828476101171,0.3187503844988726,0.22707596634556762
1024,16,0,tcp_wrench,0.9858104861349755,0.9498019169859592,0.15002253557401327
1024,16,1,change_weight,0.6370065294254001,0.3871973667746521,0.33321830354061704
1024,16,1,drop_object,0.8604236195694481,0.7590288365434,0.22919098500493848
1024,16,1,force_stop,0.5412941208031705,0.14579336552991357,0.14037555383641606
1024,16,1,long_wait,0.7425532882694597,0.3252761688878101,0.11671773067383646
1024,16,1,outside_box,0.662422832349477,0.4732894040389916,0.32082216264521896
1024,16,1,push,0.6743908379227455,0.22269486582904327,0.0863515120352219
1024,16,1,scale_speed,0.6977285652871392,0.3789009420900687,0.22707596634556762
1024,16,1,tcp_wrench,0.9788578654952984,0.9204980963069793,0.15002253557401327
1024,16,2,change_weight,0.6366010559328253,0.3959486293069764,0.33321830354061704
1024,16,2,drop_object,0.8823390664528791,0.7760066273872793,0.22919098500493848
1024,16,2,force_stop,0.6346140544608811,0.198459058610778,0.14037555383641606
1024,16,2,long_wait,0.8191234708565227,0.6132396322720125,0.11671773067383646
1024,16,2,outside_box,0.724821450595583,0.5227798746285798,0.32082216264521896
1024,16,2,push,0.6370867745470334,0.20810076672979705,0.0863515120352219
1024,16,2,scale_speed,0.7178045574826986,0.4107354798577556,0.22707596634556762
1024,16,2,tcp_wrench,0.9881066689901564,0.952797262974246,0.15002253557401327
1024,16,3,change_weight,0.6271161851342104,0.40455648706402786,0.33321830354061704
1024,16,3,drop_object,0.8639944986605189,0.750890024491541,0.22919098500493848
1024,16,3,force_stop,0.5792753694413288,0.16038930947268992,0.14037555383641606
1024,16,3,long_wait,0.8982219440727045,0.7728767490278691,0.11671773067383646
1024,16,3,outside_box,0.7478778896106163,0.5736975243498611,0.32082216264521896
1024,16,3,push,0.6550208852016215,0.21254912760926226,0.0863515120352219
1024,16,3,scale_speed,0.7417279279154784,0.4428878135516632,0.22707596634556762
1024,16,3,tcp_wrench,0.9746776076594537,0.9113312508885905,0.15002253557401327
1024,16,4,change_weight,0.6257007972076081,0.3848663987323293,0.33321830354061704
1024,16,4,drop_object,0.8717282230136097,0.782501260563564,0.22919098500493848
1024,16,4,force_stop,0.6081737997388871,0.1726418881543171,0.14037555383641606
1024,16,4,long_wait,0.7782608489548395,0.5011419924624859,0.11671773067383646
1024,16,4,outside_box,0.632363173486176,0.4058889795551074,0.32082216264521896
1024,16,4,push,0.6191827916253935,0.20084184473650935,0.0863515120352219
1024,16,4,scale_speed,0.6507381860359112,0.34921954994031135,0.22707596634556762
1024,16,4,tcp_wrench,0.9903646873871241,0.9646636526386863,0.15002253557401327
